Path;Advice;Simulation time (s);Distance travelled (m);Mean speed (m/s);Number of steps;Mean step frequency (step/s);Percent of left foot in front;Walked path;Number of areas covered;Average time in area (s);Nbr errors; Nbr wrong areas;Total error time (s);Total error distance (m)
A;ARROW;12,14953;21,9028;1,802769;0;-1;1;16.15.25.24.33.43.42.32.22.21;10;1,214953;0;0;0;0
A;ARROW;16,77404;19,25722;1,148037;0;-1;1;16.15.25.24.33.43.42.32;8;2,096755;0;0;0;0
A;ARROW;8,721733;2,994176;0,3433006;0;-1;1;16.15;2;4,360867;0;0;0;0
A;ARROW;24,11578;2,592912;0,1075193;0;-1;1;16.15.16.15;4;6,028945;1;1;10,92415;0
A;ARROW;6,030753;3,085141;0,5115681;0;-1;1;16.15.16.15;4;1,507688;1;1;0,3788981;0
A;ARROW;13,16264;18,1569;1,379426;0;-1;1;16.15.25.24.33.43.42.32.31.32.31;11;1,196604;2;2;-11,32592;0
A;ARROW;10,79094;20,88726;1,93563;0;-1;1;16.15.25.24.33.43.42.32.22.21;10;1,079094;0;0;0;0
A;LIGHT;36,65475;42,06858;1,147698;0;-1;1;16.15.25.24.33.43.42.32.22.21.31.41.42.32.42.41.31.21;18;2,036375;1;4;5,499828;4,04789
A;LIGHT;17,74039;29,2669;1,649733;0;-1;1;16.15.25.35.45.35.25.24.33.43.42.32;12;1,478365;1;2;3,0399;2,881718
A;LIGHT;26,32984;38,81776;1,474288;0;-1;1;16.15.14.15.25.24.33.43.42.32.22.21.31.41.42.41.31;17;1,548814;2;4;4,815495;3,87323
A;LIGHT;42,7151;69,82059;1,634565;0;-1;1;16.15.25.24.33.43.42.32.22.21.31.21.22.24.22.32.33.32.22.13.12.22.13.12.13.22.21;27;1,582041;5;8;17,74537;6,857042
A;LIGHT;6,22086;9,918836;1,594448;0;-1;1;16.15.05.15.25;5;1,244172;1;1;0,8577988;0
A;LIGHT;6,795364;11,09993;1,633456;0;-1;1;16.15.05.15.25.24;6;1,132561;1;1;0,7817988;0
A;LIGHT;12,80921;18,99263;1,482733;0;-1;1;16.15.25.35.25.24.33;7;1,829887;1;1;1,863493;0
A;LIGHT;14,75773;22,77202;1,54403;0;-1;1;16.15.05.15.25.24.33.43.42.32;10;1,474843;1;1;1,68354;0
A;LIGHT;13,07406;20,99229;1,605645;0;-1;1;16.15.05.15.25.24.33.43.42;9;1,452673;1;1;2,107425;0
A;LIGHT;11,65427;19,74449;1,695622;0;-1;1;16.15.05.15.25.24.33.43;8;1,455549;1;1;2,040135;0
A;ARROW;13,6313;24,1304;1,77022;0;-1;1;16.15.05.15.05.15.05.15.05.15;10;1,36313;4;4;3,801634;0
A;LIGHT;30,59559;28,85134;0,9429901;0;-1;1;16.15.05.15.25.24.33.43.42.32.22;11;2,781418;1;1;1,301097;0
A;PEANUT;27,44693;25,06814;0,9133312;0;-1;1;16.15.16.15.25.24.33.43.42.32.22.21;12;2,287245;1;1;2,573514;0
A;ARROW;12,48424;19,61455;1,571145;0;-1;1;16.15.25.24.14.24.13.24.33;9;1,387138;2;2;3,400992;0
A;ARROW;2,202311;1,221942;0,5548452;0;-1;1;16;1;2,202311;0;0;0;0
A;LIGHT;5,396511;0,2592271;0,04803605;0;-1;1;16;1;5,396511;0;0;0;0
A;ARROW;145,8482;16,2442;0,1113775;0;-1;1;16.15.54.44.35.25.26;7;20,83545;1;5;-134,1861;10,32645
A;ARROW;78,1633;6,122943;0,07833527;0;-1;1;16.15;2;39,08165;0;0;0;0
A;ARROW;223,1917;19,02858;0,08525664;0;-1;1;15.25.35;3;74,39724;1;1;-222,5875;0
A;ARROW;33,28229;1,608407;0,0483262;0;-1;1;15.16;2;16,64115;1;1;-0,9865618;0
A;ARROW;11,71617;10,28001;0,8774211;0;-1;1;25.15.25.15.16;5;2,343233;2;3;-6,33609;1,604619
A;ARROW;10,78806;0;0;0;-1;1;16;1;10,78806;0;0;0;0
A;ARROW;29,4839;22,11812;0,7501763;0;-1;1;16.06.16.15.25.24.33.43.42.32.22;11;2,680355;1;1;0,6176822;0
A;ARROW;10,22226;11,54768;1,12966;0;-1;1;16.15.25.24.33;5;2,044452;0;0;0;0
A;ARROW;16,79191;22,88276;1,362725;0;-1;1;16.15.25.24.33.43.42.32.22.21;10;1,679191;0;0;0;0
A;ARROW;19,27144;25,90573;1,344255;0;-1;1;16.15.25.24.33.43.42.32.22.21.31.21;12;1,605953;1;1;0,9840775;0
A;ARROW;15,6644;10,28016;0,6562753;0;-1;1;16.15.25.24;4;3,916101;0;0;0;0
A;ARROW;91,86476;18,92831;0,2060454;0;-1;1;16.02.12.11.21.22.21.22.21.11;10;9,186476;2;6;39,75944;6,335052
A;ARROW;124,9423;10,94124;0,08757036;0;-1;1;16.10.11.21;4;31,23557;1;3;-15,78744;1,74566
A;ARROW;3,887663;9,536743E-07;2,453078E-07;0;-1;1;16;1;3,887663;0;0;0;0
A;ARROW;54,18241;0,3352337;0,006187133;0;-1;1;16.00;2;27,09121;1;1;0;0
A;ARROW;37,19081;0,3238745;0,008708457;0;-1;1;16;1;37,19081;0;0;0;0
A;ARROW;98,64241;3,026826;0,03068484;0;-1;1;16.00.10.00;4;24,6606;1;2;20,679;0,1855854
A;ARROW;42,93119;2,694166;0,06275545;0;-1;1;16.00;2;21,4656;1;1;0;0
A;ARROW;109,6701;21,12415;0,1926155;0;-1;1;16.10.20.21.22.32.33.32.33.32.22.11;12;9,139171;3;8;-5,480782;6,901226
