Simulation time (s);Position vector;;;Euler rotation vector;;;Instant speed (m/s);Mean speed (m/s);Instant acceleration (m/s^2);Distance travelled (m)
0;2,589988;1,7;-8,761236;21,70001;11,49998;2,297233E-07;-1;0;-1;0
0,3333333;2,601683;1,7;-8,754098;23,90001;358;-5,836545E-08;0,04110511;0,04110511;-1;0,0137017
0,3534895;3,148593;1,7;-8,41505;23,90001;358;-5,836545E-08;-1;1,859121;-1;0,6571798
0,3685454;3,176171;1,7;-8,38801;23,90001;358;-5,836545E-08;2,565251;1,887969;-1;0,6958022
0,3794437;3,204983;1,7;-8,359761;23,90001;358;-5,836545E-08;3,702398;1,940082;43,81346;0,7361521
0,3943813;3,204983;1,7;-8,359761;23,90001;358;-5,836545E-08;0;1,8666;-143,3044;0,7361521
0,4085549;3,232015;1,7;-8,333064;23,90001;358;-5,836545E-08;2,680578;1,894838;92,0806;0,7741455
0,4195254;3,25871;1,7;-8,305185;23,90001;358;-5,836545E-08;3,518395;1,937294;33,32064;0,812744
0,4331279;3,25871;1,7;-8,305185;23,90001;358;-5,836545E-08;0;1,876453;-143,1814;0,812744
0,4440897;3,282329;1,7;-8,278905;23,90001;358;-5,836545E-08;3,22336;1,909699;131,2214;0,8480778
0,4559321;3,282329;1,7;-8,278905;23,90001;358;-5,836545E-08;0;1,860097;-141,3494;0,8480778
0,466681;3,310106;1,7;-8,245675;23,90001;358;-5,836545E-08;4,029307;1,910059;178,3566;0,8913884
0,4776895;3,32979;1,7;-8,220259;23,90001;358;-5,836545E-08;2,920247;1,933339;-50,97394;0,9235359
0,4903063;3,32979;1,7;-8,220259;23,90001;358;-5,836545E-08;0;1,88359;-123,6067;0,9235359
0,5021155;3,348851;1,7;-8,193548;23,90001;357,9;0;2,778704;1,904642;113,76;0,9563502
0,5148169;3,348851;1,7;-8,193548;23,90001;357,9;0;0;1,857651;-113,3675;0,9563502
0,5268089;3,374047;1,7;-8,154957;23,90001;357,9;0;3,843242;1,90285;155,639;1,002438
0,5383295;3,391768;1,7;-8,124633;23,90001;357,9;0;3,048676;1,927371;-33,79326;1,037561
0,5531942;3,391768;1,7;-8,124633;23,90001;357,9;0;0;1,875581;-115,5445;1,037561
0,5639413;3,408741;1,7;-8,092174;23,90001;357,9;0;3,408241;1,90479;133,073;1,07419
0,5751313;3,408741;1,7;-8,092174;23,90001;357,9;0;0;1,867729;-155,364;1,07419
0,5869147;3,425779;1,7;-8,055108;23,90001;357,9;0;3,461998;1,899737;150,6958;1,114984
