Simulation time (s);Position vector;;;Euler rotation vector;;;Mean speed (m/s);Nb Steps;Mean step length (m);Mean step time (s);Mean step pause (s)
0;18,3;0;0;0;350;0;0;0;-1;-1;0
0,3333333;18,3;0;0;0;350;0;0;0;-1;-1;0
0,3534895;18,3;0;0;0;350;0;0;0;-1;-1;0
0,3685454;18,3;0;0;0;350;0;0;0;-1;-1;0
0,3794437;18,3;0;0;0;350;0;0;0;-1;-1;0
0,3943813;18,3;0;0;0;350;0;0;0;-1;-1;0
0,4085549;18,3;0;0;0;350;0;0;0;-1;-1;0
0,4195254;18,3;0;0;0;350;0;0;0;-1;-1;0
0,4331279;18,3;0;0;0;350;0;0;0;-1;-1;0
0,4440897;18,3;0;0;0;350;0;0;0;-1;-1;0
0,4559321;18,3;0;0;0;350;0;0;0;-1;-1;0
0,466681;18,3;0;0;0;350;0;0;0;-1;-1;0
0,4776895;18,3;0;0;0;350;0;0;0;-1;-1;0
0,4903063;18,3;0;0;0;350;0;0;0;-1;-1;0
0,5021155;18,3;0;0;0;350;0;0;0;-1;-1;0
0,5148169;18,3;0;0;0;350;0;0;0;-1;-1;0
0,5268089;18,3;0;0;0;350;0;0;0;-1;-1;0
0,5383295;18,3;0;0;0;350;0;0;0;-1;-1;0
0,5531942;18,3;0;0;0;350;0;0;0;-1;-1;0
0,5639413;18,3;0;0;0;350;0;0;0;-1;-1;0
0,5751313;18,3;0;0;0;350;0;0;0;-1;-1;0
0,5869147;18,3;0;0;0;350;0;0;0;-1;-1;0
0,5983402;18,3;0;0;0;350;0;0;0;-1;-1;0
0,612331;18,3;0;0;0;350;0;0;0;-1;-1;0
0,6240342;18,3;0;0;0;350;0;0;0;-1;-1;0
0,635718;18,3;0;0;0;350;0;0;0;-1;-1;0
0,6471298;18,3;0;0;0;350;0;0;0;-1;-1;0
0,6581504;18,3;0;0;0;350;0;0;0;-1;-1;0
0,6695701;18,3;0;0;0;350;0;0;0;-1;-1;0
0,680447;18,3;0;0;0;350;0;0;0;-1;-1;0
0,6938252;18,3;0;0;0;350;0;0;0;-1;-1;0
0,7051206;18,3;0;0;0;350;0;0;0;-1;-1;0
0,7163699;18,3;0;0;0;350;0;0;0;-1;-1;0
0,7298163;18,3;0;0;0;350;0;0;0;-1;-1;0
0,7405943;18,3;0;0;0;350;0;0;0;-1;-1;0
0,7521728;18,3;0;0;0;350;0;0;0;-1;-1;0
0,7652962;18,3;0;0;0;350;0;0;0;-1;-1;0
0,7765138;18,3;0;0;0;350;0;0;0;-1;-1;0
0,78847;18,3;0;0;0;350;0;0;0;-1;-1;0
0,8003421;18,3;0;0;0;350;0;0;0;-1;-1;0
0,8122089;18,3;0;0;0;350;0;0;0;-1;-1;0
0,8234154;18,3;0;0;0;350;0;0;0;-1;-1;0
0,8343264;18,3;0;0;0;350;0;0;0;-1;-1;0
0,8474348;18,3;0;0;0;350;0;0;0;-1;-1;0
0,8661324;18,3;0;0;0;350;0;0;0;-1;-1;0
0,8773295;18,3;0;0;0;350;0;0;0;-1;-1;0
0,8915637;18,3;0;0;0;350;0;0;0;-1;-1;0
0,9072281;18,3;0;0;0;350;0;0;0;-1;-1;0
0,9189785;18,3;0;0;0;350;0;0;0;-1;-1;0
0,9321325;18,3;0;0;0;350;0;0;0;-1;-1;0
0,9475303;18,3;0;0;0;350;0;0;0;-1;-1;0
0,9590375;18,3;0;0;0;350;0;0;0;-1;-1;0
0,9722713;18,3;0;0;0;350;0;0;0;-1;-1;0
0,9870415;18,3;0;0;0;350;0;0;0;-1;-1;0
1,000398;18,3;0;0;0;350;0;0;0;-1;-1;0
1,017018;18,3;0;0;0;350;0;0;0;-1;-1;0
1,031787;18,3;0;0;0;350;0;0;0;-1;-1;0
1,043976;18,3;0;0;0;350;0;0;0;-1;-1;0
1,055993;18,3;0;0;0;350;0;0;0;-1;-1;0
1,071043;18,3;0;0;0;350;0;0;0;-1;-1;0
1,084565;18,3;0;0;0;350;0;0;0;-1;-1;0
1,10056;18,3;0;0;0;350;0;0;0;-1;-1;0
1,110938;18,3;0;0;0;350;0;0;0;-1;-1;0
1,126201;18,3;0;0;0;350;0;0;0;-1;-1;0
1,140411;18,3;0;0;0;350;0;0;0;-1;-1;0
1,153346;18,3;0;0;0;350;0;0;0;-1;-1;0
1,168605;18,3;0;0;0;350;0;0;0;-1;-1;0
1,181461;18,3;0;0;0;350;0;0;0;-1;-1;0
1,197345;18,3;0;0;0;350;0;0;0;-1;-1;0
1,211651;18,3;0;0;0;350;0;0;0;-1;-1;0
1,228225;18,3;0;0;0;350;0;0;0;-1;-1;0
1,241007;18,3;0;0;0;350;0;0;0;-1;-1;0
1,259392;18,3;0;0;0;350;0;0;0;-1;-1;0
1,273336;18,3;0;0;0;350;0;0;0;-1;-1;0
1,28588;18,3;0;0;0;350;0;0;0;-1;-1;0
1,299896;18,3;0;0;0;350;0;0;0;-1;-1;0
1,313596;18,3;0;0;0;350;0;0;0;-1;-1;0
1,326361;18,3;0;0;0;350;0;0;0;-1;-1;0
1,346766;18,3;0;0;0;350;0;0;0;-1;-1;0
1,361155;18,3;0;0;0;350;0;0;0;-1;-1;0
1,376324;18,3;0;0;0;350;0;0;0;-1;-1;0
1,38975;18,3;0;0;0;350;0;0;0;-1;-1;0
1,404495;18,3;0;0;0;350;0;0;0;-1;-1;0
1,416998;18,3;0;0;0;350;0;0;0;-1;-1;0
1,432221;18,3;0;0;0;350;0;0;0;-1;-1;0
1,445502;18,3;0;0;0;350;0;0;0;-1;-1;0
1,459985;18,3;0;0;0;350;0;0;0;-1;-1;0
1,470483;18,3;0;0;0;350;0;0;0;-1;-1;0
1,483656;18,3;0;0;0;350;0;0;0;-1;-1;0
1,498838;18,3;0;0;0;350;0;0;0;-1;-1;0
1,512789;18,3;0;0;0;350;0;0;0;-1;-1;0
1,528891;18,3;0;0;0;350;0;0;0;-1;-1;0
1,554135;18,3;0;0;0;350;0;0;0;-1;-1;0
1,573452;18,3;0;0;0;350;0;0;0;-1;-1;0
1,583487;18,3;0;0;0;350;0;0;0;-1;-1;0
1,599687;18,3;0;0;0;350;0;0;0;-1;-1;0
1,61713;18,3;0;0;0;350;0;0;0;-1;-1;0
1,63144;18,3;0;0;0;350;0;0;0;-1;-1;0
1,648544;18,3;0;0;0;350;0;0;0;-1;-1;0
1,664355;18,3;0;0;0;350;0;0;0;-1;-1;0
1,675349;18,3;0;0;0;350;0;0;0;-1;-1;0
1,69608;18,3;0;0;0;350;0;0;0;-1;-1;0
1,71202;18,3;0;0;0;350;0;0;0;-1;-1;0
1,726872;18,3;0;0;0;350;0;0;0;-1;-1;0
